ENTREZID	SYMBOL
24152	Asip
24153	A2m
24157	Acaa1a
24158	Acadm
24159	Acly
24161	Acp1
24162	Acp2
24163	Acr
24165	Ada
24166	Adcyap1
24167	Adcyap1r1
24170	Add1
24171	Add2
24172	Adh1
24173	Adra1b
24174	Adra2b
24175	Adra2c
24176	Adrb2
24177	Afp
24179	Agt
24180	Agtr1a
24182	Agtr2
24183	Ak1
24184	Ak2
24185	Akt1
24186	Alb
24188	Aldh1a1
24189	Aldoa
24190	Aldob
24191	Aldoc
24192	Akr1b1
24197	Alpi
24203	Amy1
24205	Apc
24206	Apeh
24207	Apoc3
24208	Ar
24209	Ascl2
24210	Asgr1
24211	Atp1a1
24212	Atp1a2
24213	Atp1a3
24214	Atp1b2
24215	Atp2b2
24216	Atp4a
24217	Atp4b
24218	Atp7b
24221	Avp
24223	B2m
24224	Bcl2
24225	Bdnf
24230	Tspo
24231	C2
24232	C3
24233	C4a
24235	C4bpa
24236	C4bpb
24237	C6
24239	Cacna1c
24240	Cad
24241	Calca
24242	Calm1
24244	Calm3
24245	Camk2b
24246	Camk2d
24247	Casr
24248	Cat
24249	S100g
24250	Cbs
24251	Cd53
24252	Cebpa
24253	Cebpb
24254	Cel
24255	Cftr
24256	Psg19
24257	Cgm4
24258	Chga
24259	Chgb
24260	Chrm3
24261	Chrnb1
24264	Ckb
24265	Ckm
24267	Comt
24268	Cp
24269	Cpa1
24271	Cpb1
24273	Cryaa
24277	Crygc
24278	Crygd
24279	Cryge
24282	Prl3d4
24283	Prl3b1
24284	Csn1s1
24291	Ctrb1
24294	Cyp11b2
24296	Cyp1a1
24297	Cyp1a2
24298	Cyp21a1
24299	Cyp2a3
24300	Cyp2b1
24303	Cyp2d3
24306	Cyp4a2
24307	Cyp4b1
24309	Dbp
24310	Ace
24311	Ddc
24312	Dhfr
24314	Nqo1
24315	Prl8a2
24316	Drd1
24318	Drd2
24323	Edn1
24324	Edn2
24326	Ednra
24329	Egfr
24330	Egr1
24331	Cela1
24332	Cela2a
24333	Eno1
24334	Eno2
24335	Epo
24336	Epor
24337	Erbb2
24338	Ephb1
24346	Ces1c
24356	Ets1
24360	Fabp1
24361	Fancc
24362	Fbp1
24366	Fgb
24367	Fgg
24368	Fh
24370	Foxg1
24373	Fst
24375	Fuca1
24377	G6pd
24379	Gad1
24380	Gad2
24382	Ganc
24383	Gapdh
24384	Gc
24385	Gck
24387	Gfap
24388	Gfi1
24390	B4galt1
24391	Gh1
24392	Gja1
24397	Glra2
24398	Gls
24399	Glud1
24400	Gnb1
24401	Got1
24404	Gpx1
24406	Grik4
24407	Grik5
24408	Grin1
24409	Grin2a
24410	Grin2b
24411	Grin2c
24412	Grin2d
24413	Nr3c1
24414	Grm1
24415	Grm2
24416	Grm3
24417	Grm4
24418	Grm5
24419	Grm6
24420	Gspt1
24421	Gsta1
24422	Gsta2
24423	Gstm1
24424	Gstm2
24426	Gstp1
24434	Gusb
24437	H1f0
24438	H1f6
24439	Hagh
24440	Hbb
24443	Hdc
24446	Hgf
24448	Hrh1
24450	Hmgcs2
24451	Hmox1
24457	Hoxb8
24459	Hoxc4
24460	Hoxc8
24464	Hp
24465	Hprt1
24468	Hspa8
24470	Hsd3b5
24471	Hspb1
24472	Hspa1a
24473	Htr1a
24476	Iapp
24477	Ibsp
24479	Idh1
24481	Ifnb1
24482	Igf1
24483	Igf2
24484	Igfbp3
24485	Igh@
24492	Igl
24493	Il1a
24494	Il1b
24495	Il3
24497	Il5
24498	Il6
24499	Il6r
24500	Il9r
24503	Ina
24504	Inha
24505	Ins1
24506	Ins2
24508	Irf1
24511	Itgb1
24513	Ivd
24514	Jak2
24516	Jun
24517	Junb
24518	Jund
24520	Kcna1
24521	Kcnj1
24522	Zfp354a
24523	Klk1
24525	Kras
24528	Lalba
24530	Lcat
24533	Ldha
24534	Ldhb
24536	Lepr
24538	Lipc
24539	Lpl
24546	Slco2a1
24547	Mbp
24548	Mbl1
24551	Mdh1
24552	Me1
24553	Met
24558	Mog
24559	Mos
24560	Cd200
24561	Mpg
24564	Mpz
24565	Abcc1
24566	Mst1
24567	Mt1
24571	Muc1
24572	Muc2
24574	Mup1
24575	Mx1
24577	Myc
24581	Mycs
24582	Myh11
24583	Myh3
24584	Mylpf
24585	Myl3
24586	Ncam1
24587	Nefh
24588	Nefm
24590	Mme
24591	Neu1
24592	Nf1
24594	Klk1b3
24596	Ngfr
24598	Nos1
24599	Nos2
24600	Nos3
24602	Nppa
24603	Npr1
24604	Npy
24605	Nras
24609	Odc1
24610	Odf1
24611	Gnal
24612	Omp
24613	Oprd1
24614	Orm1
24615	S100a4
24616	Pah
24617	Serpine1
24618	Reg3b
24620	Reg3g
24624	Pccb
24626	Pde4b
24627	Pde4d
24628	Pdgfb
24629	Pdgfrb
24631	Rhox5
24638	Pfkfb1
24640	Pfkfb2
24641	Flg
24642	Pgam1
24644	Pgk1
24645	Pgm1
24646	Abcb1b
24647	Pgy4
24648	Serpina1
24649	Pim1
24650	Pkd1
24651	Pklr
24653	Pla2g4a
24654	Plcb1
24655	Plcd1
24656	Prl4a1
24657	Prl6a1
24659	Pmch
24660	Pmp22
24661	Pnmt
24664	Pomc
24666	Ppm1a
24667	Ppm1b
24668	Ppp1ca
24669	Ppp1cc
24672	Ppp2ca
24673	Ppp2cb
24674	Ppp3ca
24675	Ppp3cb
24677	Ppy
24678	Pkib
24679	Prkar2b
24680	Prkca
24681	Prkcg
24683	Prl
24684	Prlr
24685	Prm1
24686	Prnp
24687	Prp15
24688	Prph
24689	Prps2
24691	Prss1
24693	Ptgs1
24694	Pth
24695	Pthlh
24697	Ptpn1
24699	Ptprc
24701	Pygm
24703	Raf1
24705	Rara
24706	Rarb
24708	Rb1
